wc_line,wc_name,wc_colour,wc_stripe,do_name
1,Bakerloo Line,ab6612,NULL,Bakerloo
2,Central Line,df002c,NULL,Central
3,Circle Line,f7dc00,NULL,Circle
4,District Line,0d6928,NULL,District
5,London Overground,ee7d11,FFFFFF,Overground
6,Hammersmith & City Line,f5a6b3,NULL,Hammersmith and City
7,Jubilee Line,767b7f,NULL,Jubilee
8,Metropolitan Line,8b004c,NULL,Metropolitan
9,Northern Line,000000,NULL,Northern
10,Piccadilly Line,002d73,NULL,Piccadilly
11,Victoria Line,0076bd,NULL,Victoria
12,Waterloo & City Line,89cbc1,NULL,Waterloo and City
13,Docklands Light Railway,00A77E,FFFFFF,DLR
14,OSI,000000,FFFFFF,OSI